hetio_id	name	het_type	cui
DB00795	Sulfasalazine	Compound	UMLS:C0036078
DB00795	Sulfasalazine	Compound	UMLS:C0699547
DB00795	Sulfasalazine	Compound	UMLS:C4255898
N0000000151	Histamine H2 Receptor Antagonists	Pharmacologic Class	UMLS:C2757005
100996420	DNM1P50	Gene	100996420
DB04898	Ximelagatran	Compound	UMLS:C0966370
DB04898	Ximelagatran	Compound	UMLS:C1174793
DB04898	Ximelagatran	Compound	UMLS:C1314929
DB04898	Ximelagatran	Compound	UMLS:C4255620
C0278151	Facial spasm	Side Effect	UMLS:C0278151
56136	PCDHA13	Gene	UMLS:C1418316
DB01361	Troleandomycin	Compound	DB01361
C0013928	Fat embolism	Side Effect	UMLS:C0013928
5518	PPP2R1A	Gene	UMLS:C1418837
128859	BPIFB6	Gene	UMLS:C1424336
GO:0005929	cilium	Cellular Component	UMLS:C0008778
GO:0005929	cilium	Cellular Component	UMLS:C0016192
GO:0005929	cilium	Cellular Component	UMLS:C3156332
C0234925	Oily skin	Side Effect	UMLS:C0234925
DB00428	Streptozocin	Compound	UMLS:C0038432
DB00428	Streptozocin	Compound	UMLS:C0724450
GO:0070704	sterol desaturase activity	Molecular Function	UMLS:C2753462
23519	ANP32D	Gene	UMLS:C1332093
139105	BEND2	Gene	UMLS:C1539171
GO:0097067	cellular response to thyroid hormone stimulus	Biological Process	UMLS:C3269013
N0000191275	UGT1A3 Inhibitors	Pharmacologic Class	UMLS:C3883347
85453	TSPYL5	Gene	UMLS:C1428843
GO:0003945	N-acetyllactosamine synthase activity	Molecular Function	UMLS:C1152112
GO:0003945	N-acetyllactosamine synthase activity	Molecular Function	UMLS:C2257213
GO:0003945	N-acetyllactosamine synthase activity	Molecular Function	UMLS:C2257216
GO:0035999	tetrahydrofolate interconversion	Biological Process	UMLS:C3271482
PC7_3421	EPHB-mediated forward signaling	Pathway	PC7_3421
GO:0031000	response to caffeine	Biological Process	UMLS:C1523480
6340	SCNN1G	Gene	UMLS:C1419871
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	Molecular Function	UMLS:C2755747
GO:0030663	COPI-coated vesicle membrane	Cellular Component	UMLS:C1166740
51321	AMZ2	Gene	UMLS:C2239530
C0152196	Spasm of accommodation	Side Effect	UMLS:C0152196
