doid	cui
DOID:0001816	UMLS:C0018923
DOID:0001816	UMLS:C0854893
DOID:0002116	UMLS:C0033999
DOID:0014667	UMLS:C0025517
DOID:0050004	UMLS:C0578661
DOID:0050117	UMLS:C0001485
DOID:0050118	UMLS:C0014053
DOID:0050120	UMLS:C0024291
DOID:0050127	UMLS:C0149512
DOID:0050133	UMLS:C0031898
DOID:0050133	UMLS:C2980104
DOID:0050144	UMLS:C0022521
DOID:0050145	UMLS:C0396023
DOID:0050148	UMLS:C0155811
DOID:0050148	UMLS:C0155837
DOID:0050152	UMLS:C0032290
DOID:0050156	UMLS:C1800706
DOID:0050157	UMLS:C0242770
DOID:0050158	UMLS:C0238378
DOID:0050161	UMLS:C0029581
DOID:0050166	UMLS:C0152828
DOID:0050175	UMLS:C0014054
DOID:0050214	UMLS:C0022972
DOID:0050328	UMLS:C0010308
DOID:0050328	UMLS:C0342200
DOID:0050335	UMLS:C1842073
DOID:0050424	UMLS:C0032580
DOID:0050424	UMLS:C2713442
DOID:0050424	UMLS:C2713443
DOID:0050425	UMLS:C0035258
DOID:0050426	UMLS:C0014518
DOID:0050426	UMLS:C0038325
DOID:0050426	UMLS:C1274933
DOID:0050426	UMLS:C3658301
DOID:0050426	UMLS:C3658302
DOID:0050427	UMLS:C0043346
DOID:0050428	UMLS:C0022584
DOID:0050428	UMLS:C3489771
DOID:0050429	UMLS:C0085106
DOID:0050430	UMLS:C0025268
DOID:0050431	UMLS:C0349788
DOID:0050432	UMLS:C0236792
DOID:0050433	UMLS:C0206042
DOID:0050434	UMLS:C1563715
DOID:0050436	UMLS:C0524582
DOID:0050437	UMLS:C0878677
DOID:0050438	UMLS:C0950122
DOID:0050439	UMLS:C0271097
DOID:0050439	UMLS:C1568248
DOID:0050439	UMLS:C1568249
DOID:0050439	UMLS:C2931205
DOID:0050440	UMLS:C0271694
DOID:0050440	UMLS:C1720859
DOID:0050440	UMLS:C1720860
DOID:0050440	UMLS:C1720861
DOID:0050441	UMLS:C0268263
DOID:0050441	UMLS:C1720864
DOID:0050444	UMLS:C0282527
DOID:0050445	UMLS:C0733682
DOID:0050445	UMLS:C1845168
DOID:0050445	UMLS:C3540852
DOID:0050448	UMLS:C1721005
DOID:0050449	UMLS:C0265334
DOID:0050449	UMLS:C1706595
DOID:0050449	UMLS:C1721007
DOID:0050450	UMLS:C0268450
DOID:0050451	UMLS:C1142166
DOID:0050451	UMLS:C1721096
DOID:0050451	UMLS:C1955837
DOID:0050452	UMLS:C0342731
DOID:0050452	UMLS:C0398691
DOID:0050452	UMLS:C1959626
DOID:0050453	UMLS:C0266463
DOID:0050453	UMLS:C0266483
DOID:0050454	UMLS:C1848213
DOID:0050454	UMLS:C1868720
DOID:0050456	UMLS:C0085568
DOID:0050457	UMLS:C1384583
DOID:0050458	UMLS:C0349639
DOID:0050459	UMLS:C0085681
DOID:0050460	UMLS:C0796117
DOID:0050460	UMLS:C1956097
DOID:0050461	UMLS:C0268225
DOID:0050462	UMLS:C1860042
DOID:0050462	UMLS:C2350233
DOID:0050462	UMLS:C2936791
DOID:0050463	UMLS:C1861922
DOID:0050463	UMLS:C1861923
DOID:0050464	UMLS:C0268255
DOID:0050465	UMLS:C1321489
DOID:0050466	UMLS:C1836635
DOID:0050466	UMLS:C2697932
DOID:0050467	UMLS:C0265961
DOID:0050467	UMLS:C1851480
DOID:0050468	UMLS:C0221348
DOID:0050469	UMLS:C0587248
DOID:0050470	UMLS:C0265344
DOID:0050470	UMLS:C0271695
DOID:0050471	UMLS:C0406810
DOID:0050471	UMLS:C1854540
DOID:0050471	UMLS:C2607929
DOID:0050472	UMLS:C0546966
DOID:0050473	UMLS:C0268425
DOID:0050474	UMLS:C0265962
DOID:0050475	UMLS:C0265313
DOID:0050475	UMLS:C1869114
DOID:0050475	UMLS:C1869115
DOID:0050476	UMLS:C0574083
DOID:0050477	UMLS:C0221043
DOID:0050486	UMLS:C0015230
DOID:0050495	UMLS:C0015231
DOID:0050508	UMLS:C1812609
DOID:0050523	UMLS:C0023493
DOID:0050534	UMLS:C1306122
DOID:0050535	UMLS:C0004608
DOID:0050539	UMLS:C0392553
DOID:0050557	UMLS:C2937300
DOID:0050580	UMLS:C1313885
DOID:0050589	UMLS:C0021390
DOID:0050591	UMLS:C0399352
DOID:0050596	UMLS:C0152073
DOID:0050597	UMLS:C0036329
DOID:0050597	UMLS:C0036330
DOID:0050597	UMLS:C0276932
DOID:0050616	UMLS:C0334410
DOID:0050619	UMLS:C0280334
DOID:0050619	UMLS:C0854995
DOID:0050619	UMLS:C1335336
DOID:0050619	UMLS:C1335337
DOID:0050619	UMLS:C1335340
DOID:0050625	UMLS:C0345913
DOID:0050647	UMLS:C0796028
DOID:0050651	UMLS:C0014116
DOID:0050654	UMLS:C0265308
DOID:0050681	UMLS:C0265339
DOID:0050685	UMLS:C0334239
DOID:0050699	UMLS:C0878681
DOID:0050699	UMLS:C1845167
DOID:0050699	UMLS:C1848336
DOID:0050700	UMLS:C0033141
DOID:0050700	UMLS:C0036529
DOID:0050700	UMLS:C0878544
DOID:0050741	UMLS:C0031347
DOID:0050742	UMLS:C0028043
DOID:0050747	UMLS:C0024419
DOID:0050747	UMLS:C2936755
DOID:0050759	UMLS:C0221055
DOID:0050759	UMLS:C0553604
DOID:0050759	UMLS:C0752355
DOID:0050766	UMLS:C0393576
DOID:0050773	UMLS:C0030421
DOID:0050778	UMLS:C0311245
DOID:0050782	UMLS:C0043515
DOID:0050783	UMLS:C0751965
DOID:0050784	UMLS:C0751964
DOID:0050785	UMLS:C0393666
DOID:0050791	UMLS:C1849930
DOID:0050796	UMLS:C1860212
DOID:0050797	UMLS:C1849678
DOID:0050802	UMLS:C1869122
DOID:0050811	UMLS:C0701163
DOID:0050820	UMLS:C0004245
DOID:0050826	UMLS:C0264776
DOID:0050834	UMLS:C0265354
DOID:0050834	UMLS:C2936502
DOID:0050835	UMLS:C0013423
DOID:0050835	UMLS:C0154674
DOID:0050835	UMLS:C0154675
DOID:0050835	UMLS:C0393598
DOID:0050835	UMLS:C0393601
DOID:0050835	UMLS:C0752207
DOID:0050841	UMLS:C0154676
DOID:0050848	UMLS:C0020529
DOID:0050848	UMLS:C0037315
DOID:0050848	UMLS:C0338495
DOID:0050865	UMLS:C0007137
DOID:0050876	UMLS:C0162510
DOID:0050902	UMLS:C0025149
DOID:0050902	UMLS:C0206663
DOID:0050902	UMLS:C1334410
DOID:0050908	UMLS:C2713368
DOID:0060013	UMLS:C1279481
DOID:0060020	UMLS:C0272167
DOID:0060025	UMLS:C0162538
DOID:0060040	UMLS:C0154451
DOID:0060055	UMLS:C0265259
DOID:0060058	UMLS:C0024299
DOID:0060058	UMLS:C0598798
DOID:0060119	UMLS:C0031347
DOID:0060123	UMLS:C0037579
DOID:0060125	UMLS:C0018852
DOID:0060125	UMLS:C0018854
DOID:0060125	UMLS:C0242310
DOID:0060155	UMLS:C2930796
DOID:0060157	UMLS:C0406458
DOID:0060157	UMLS:C1274706
DOID:0060157	UMLS:C1862862
DOID:0060157	UMLS:C2936778
DOID:0060157	UMLS:C3179487
DOID:0060157	UMLS:C3179488
DOID:0060157	UMLS:C3179489
DOID:0060160	UMLS:C0043116
DOID:0060160	UMLS:C0152109
DOID:0060160	UMLS:C0393538
DOID:0060160	UMLS:C0700595
DOID:0060161	UMLS:C1839259
DOID:0060162	UMLS:C0751776
DOID:0060162	UMLS:C0751777
DOID:0060162	UMLS:C0751778
DOID:0060162	UMLS:C0751779
DOID:0060162	UMLS:C0751780
DOID:0060162	UMLS:C0751781
DOID:0060162	UMLS:C0751782
DOID:0060178	UMLS:C0477373
DOID:0060180	UMLS:C0009319
DOID:0060181	UMLS:C0162529
DOID:0060182	UMLS:C0400821
DOID:0060183	UMLS:C0238067
DOID:0060184	UMLS:C0400822
DOID:0060185	UMLS:C0014358
DOID:0060185	UMLS:C0085819
DOID:0060185	UMLS:C1257843
DOID:0060185	UMLS:C1257844
DOID:0060185	UMLS:C1257845
DOID:0060186	UMLS:C0029512
DOID:0060187	UMLS:C0029512
DOID:0060189	UMLS:C0020877
DOID:0060192	UMLS:C0156147
DOID:0060215	UMLS:C0004712
DOID:0060215	UMLS:C0007795
DOID:0060215	UMLS:C0205710
DOID:0060216	UMLS:C0271270
DOID:0060217	UMLS:C1168173
DOID:0060218	UMLS:C0206138
DOID:0060218	UMLS:C1527226
DOID:0060224	UMLS:C0004238
DOID:0060226	UMLS:C1860118
DOID:0060227	UMLS:C0265268
DOID:0060230	UMLS:C0393590
DOID:0060234	UMLS:C1275078
DOID:0060235	UMLS:C0342790
DOID:0060236	UMLS:C0268118
DOID:0060236	UMLS:C1863688
DOID:0060237	UMLS:C1838625
DOID:0060238	UMLS:C1832390
DOID:0060239	UMLS:C0175697
DOID:0060239	UMLS:C1834339
DOID:0060241	UMLS:C1848862
DOID:0060241	UMLS:C1851996
DOID:0060242	UMLS:C2699746
DOID:0060243	UMLS:C0038131
DOID:0060243	UMLS:C0038506
DOID:0060243	UMLS:C0454542
DOID:0060243	UMLS:C0751527
DOID:0060243	UMLS:C0751528
DOID:0060243	UMLS:C0751529
DOID:0060243	UMLS:C3489627
DOID:0060246	UMLS:C0795953
DOID:0060247	UMLS:C1846431
DOID:0060248	UMLS:C0796154
DOID:0060249	UMLS:C0036439
DOID:0060251	UMLS:C0265301
DOID:0060252	UMLS:C1853235
DOID:0060254	UMLS:C0265205
DOID:0060255	UMLS:C1853698
DOID:0060256	UMLS:C0406811
DOID:0060256	UMLS:C3714534
DOID:0060257	UMLS:C0406775
DOID:0060258	UMLS:C0406811
DOID:0060260	UMLS:C0005745
DOID:0060261	UMLS:C0266573
DOID:0060262	UMLS:C0016977
DOID:0060263	UMLS:C0302892
DOID:0060263	UMLS:C1867983
DOID:0060263	UMLS:C3698507
DOID:0060264	UMLS:C0266468
DOID:0060267	UMLS:C1848526
DOID:0060268	UMLS:C2676466
DOID:0060269	UMLS:C2676465
DOID:0060272	UMLS:C1842687
DOID:0060273	UMLS:C1856974
DOID:0060274	UMLS:C1857762
DOID:0060275	UMLS:C1969084
DOID:0060280	UMLS:C1864846
DOID:0060280	UMLS:C1864851
DOID:0060282	UMLS:C0266568
DOID:0060284	UMLS:C0019050
DOID:0060284	UMLS:C0024790
DOID:0060284	UMLS:C0086774
DOID:0060285	UMLS:C1868598
DOID:0060288	UMLS:C1850318
DOID:0060288	UMLS:C2750355
DOID:0060289	UMLS:C0796094
DOID:0060290	UMLS:C1863557
DOID:0060291	UMLS:C0812437
DOID:0060294	UMLS:C1832409
DOID:0060296	UMLS:C0267662
DOID:0060304	UMLS:C2930995
DOID:0060305	UMLS:C0344530
DOID:0060306	UMLS:C1868684
DOID:0060311	UMLS:C0149825
DOID:0060312	UMLS:C0007971
DOID:0060313	UMLS:C0392109
DOID:0060315	UMLS:C0206186
DOID:0060316	UMLS:C0026363
DOID:0060316	UMLS:C0029294
DOID:0060316	UMLS:C1510460
DOID:0060317	UMLS:C0024110
DOID:0060318	UMLS:C0023487
DOID:0060319	UMLS:C0018790
DOID:0060319	UMLS:C0600228
DOID:0060320	UMLS:C0019294
DOID:0060320	UMLS:C0019295
DOID:0060320	UMLS:C0019296
DOID:0060321	UMLS:C0795690
DOID:0060321	UMLS:C1306503
DOID:0060322	UMLS:C0024904
DOID:0060325	UMLS:C0153996
DOID:0060326	UMLS:C0025312
DOID:0060326	UMLS:C0086664
DOID:0060326	UMLS:C0751316
DOID:0060327	UMLS:C0795690
DOID:0060327	UMLS:C1306503
DOID:0060329	UMLS:C0032987
DOID:0060337	UMLS:C1836033
DOID:0060344	UMLS:C0029805
DOID:0060345	UMLS:C0085434
DOID:0060346	UMLS:C1850625
DOID:0060347	UMLS:C3495490
DOID:0060348	UMLS:C1855840
DOID:0060349	UMLS:C1835265
DOID:0060350	UMLS:C0268120
DOID:0060350	UMLS:C3665382
DOID:0060352	UMLS:C0795833
DOID:0060354	UMLS:C1861451
DOID:0060356	UMLS:C1855772
DOID:0060357	UMLS:C0795956
DOID:0060358	UMLS:C0268596
DOID:0060358	UMLS:C1856401
DOID:0060358	UMLS:C1856403
DOID:0060358	UMLS:C1856405
DOID:0060361	UMLS:C1274216
DOID:0060362	UMLS:C0545044
DOID:0060363	UMLS:C0574108
DOID:0060364	UMLS:C0795949
DOID:0060366	UMLS:C0340834
DOID:0060373	UMLS:C0406726
DOID:0060374	UMLS:C0406727
DOID:0060375	UMLS:C1868118
DOID:0060376	UMLS:C2745997
DOID:0060378	UMLS:C0796101
DOID:0060381	UMLS:C2752048
DOID:0060382	UMLS:C0796102
DOID:0060383	UMLS:C1860119
DOID:0060384	UMLS:C2931762
DOID:0060385	UMLS:C1866168
DOID:0060386	UMLS:C0024145
DOID:0060387	UMLS:C1859148
DOID:0060393	UMLS:C3180937
DOID:0060406	UMLS:C0432442
DOID:0060408	UMLS:C2751651
DOID:0060410	UMLS:C1842870
DOID:0060418	UMLS:C2931338
DOID:0060438	UMLS:C1862178
DOID:0060439	UMLS:C0268647
DOID:0060444	UMLS:C1275685
DOID:0060448	UMLS:C1562113
DOID:0060449	UMLS:C0339273
DOID:0060451	UMLS:C0339277
DOID:0060453	UMLS:C0339278
DOID:0060455	UMLS:C1562894
DOID:0060456	UMLS:C0271287
DOID:0060462	UMLS:C0432242
DOID:0060463	UMLS:C1707291
DOID:0060465	UMLS:C0265282
DOID:0060466	UMLS:C0399440
DOID:0060467	UMLS:C0431800
DOID:0060468	UMLS:C0265264
DOID:0060469	UMLS:C0265219
DOID:0060471	UMLS:C0236026
DOID:0060473	UMLS:C0796004
DOID:0060481	UMLS:C1836123
DOID:0060484	UMLS:C2748572
DOID:0060485	UMLS:C1856113
DOID:0060488	UMLS:C1970431
DOID:0060490	UMLS:C0877024
DOID:0060536	UMLS:C2936907
DOID:0060549	UMLS:C1319466
DOID:0060550	UMLS:C1860224
DOID:0060556	UMLS:C1847640
DOID:0060559	UMLS:C1854664
DOID:0060565	UMLS:C0796137
DOID:0060566	UMLS:C1856095
DOID:0060567	UMLS:C0263398
DOID:0060573	UMLS: C1264039
DOID:0060574	UMLS:C1264040
DOID:0060589	UMLS:C1857663
DOID:0060591	UMLS:C0472817
DOID:0060597	UMLS:C0349640
DOID:0060599	UMLS:C0796085
DOID:0060600	UMLS:C0795950
DOID:0060610	UMLS:C1608393
DOID:0060614	UMLS:C1866994
DOID:0060640	UMLS:C1865349
DOID:0060643	UMLS:C0566602
DOID:0060644	UMLS:C1838654
DOID:0060650	UMLS:C1857253
DOID:0060688	UMLS:C0007772
DOID:0060703	UMLS:C1864436
DOID:0060744	UMLS:C0271829
DOID:0060762	UMLS:C0406585
DOID:0060782	UMLS:C0406704
DOID:0060783	UMLS:C0406704
DOID:0060784	UMLS:C0406704
DOID:0060785	UMLS:C3164344
DOID:0060799	UMLS:C1846058
DOID:0060800	UMLS:C0796254 
DOID:0060801	UMLS:C2931496
DOID:0060808	UMLS:C1846170 
DOID:0060812	UMLS:C1846055
DOID:0060815	UMLS:C1839735
DOID:0060818	UMLS:C1846056 
DOID:0060821	UMLS:C0796022
DOID:0060825	UMLS:C1846130
DOID:0060832	UMLS:C1859194
DOID:0060833	UMLS:C1868679
DOID:0060834	UMLS:C1836573
DOID:0060843	UMLS:C0393814
DOID:0060844	UMLS:C0266526
DOID:0060847	UMLS:C0265309
DOID:0060849	UMLS:C0432252
DOID:0060850	UMLS:C0149955
DOID:0060851	UMLS:C0030809
DOID:0060852	UMLS:C1836876
DOID:0060853	UMLS:C2931246
DOID:0060854	UMLS:C0268436
DOID:0060855	UMLS:C1449843
DOID:0060857	UMLS:C0338503
DOID:0060870	UMLS:C0013338
DOID:0060877	UMLS:C0432306
DOID:0060878	UMLS:C1840333
DOID:0060881	UMLS:C2931121
DOID:0060886	UMLS:C0432268
DOID:0060901	UMLS:C0024419
DOID:0060902	UMLS:C0796089
DOID:0080001	UMLS:C0005940
DOID:0080164	UMLS:C2827356
DOID:0090019	UMLS:C0342907
DOID:0090020	UMLS:C0265554
DOID:0090022	UMLS:C0265554
DOID:0090023	UMLS:C0265554
DOID:0090025	UMLS:C0265554
DOID:0090026	UMLS:C0265554
DOID:0090027	UMLS:C0265554
DOID:0090028	UMLS:C1848533
DOID:0090106	UMLS:C0878676
DOID:0090112	UMLS:C1857316
DOID:0090117	UMLS:C0342287
DOID:0090118	UMLS:C1327915
DOID:0090119	UMLS:C1785148
DOID:0090120	UMLS:C0543669
DOID:0090121	UMLS:C0342488
DOID:0090121	UMLS:C2936861
DOID:0090123	UMLS:C1291564
DOID:0090124	UMLS:C1859721
DOID:0090127	UMLS:C1859690
DOID:0090142	UMLS:C0220993
DOID:0090142	UMLS:C0268616
DOID:0090144	UMLS:C1857277
DOID:0090145	UMLS:C0342687
DOID:0110636	UMLS:C1263858
DOID:0110734	UMLS:C2931845
DOID:0110737	UMLS:C1853578
DOID:0110826	UMLS:C0339533
DOID:0110827	UMLS:C0339534
DOID:0110827	UMLS:C1568249
DOID:0110828	UMLS:C1568248
DOID:0110829	UMLS:C1568248
DOID:0110861	UMLS:C0085548
DOID:0110937	UMLS:C2931097
DOID:0110938	UMLS:C3179239
DOID:0110948	UMLS:C1847800
DOID:0110965	UMLS:C1832702
DOID:0110968	UMLS:C1862130
DOID:0110970	UMLS:C1300268
DOID:0110970	UMLS:C1862103
DOID:0110973	UMLS:C2931060
DOID:0111028	UMLS:C1853733
DOID:0111030	UMLS:C1858664
DOID:0111044	UMLS:C0272302
DOID:0111049	UMLS:C0272302
DOID:0111050	UMLS:C1866423
DOID:0111052	UMLS:C0796149
DOID:0111054	UMLS:C1264041
DOID:0111065	UMLS:C1854023
DOID:0111068	UMLS:C1858328
DOID:0111069	UMLS:C1856127
DOID:0111070	UMLS:C3151147
DOID:0111071	UMLS:C1843116
DOID:0111072	UMLS:C2931112
DOID:0111078	UMLS:C1838244
DOID:0111079	UMLS:C1853959
DOID:100	UMLS:C0178238
DOID:10003	UMLS:C0018776
DOID:10003	UMLS:C0018780
DOID:10003	UMLS:C0018784
DOID:10011	UMLS:C1336753
DOID:10016	UMLS:C0025269
DOID:10017	UMLS:C0025267
DOID:1002	UMLS:C0014179
DOID:10020	UMLS:C0153454
DOID:10021	UMLS:C0153426
DOID:10021	UMLS:C0541912
DOID:10022	UMLS:C0345916
DOID:10024	UMLS:C0154723
DOID:10027	UMLS:C0039223
DOID:1003	UMLS:C0242172
DOID:10030	UMLS:C1370824
DOID:10031	UMLS:C0155918
DOID:10032	UMLS:C0524799
DOID:10033	UMLS:C0235238
DOID:10034	UMLS:C0152198
DOID:10035	UMLS:C0153167
DOID:10039	UMLS:C0153132
DOID:10039	UMLS:C0153136
DOID:10040	UMLS:C0339116
DOID:10041	UMLS:C0205747
DOID:10044	UMLS:C0334426
DOID:10047	UMLS:C0334424
DOID:1005	UMLS:C0151622
DOID:10054	UMLS:C0349515
DOID:10069	UMLS:C0345746
DOID:10070	UMLS:C1334370
DOID:10071	UMLS:C0240164
DOID:10073	UMLS:C0153166
DOID:10074	UMLS:C0020413
DOID:10075	UMLS:C0012561
DOID:10079	UMLS:C0010678
DOID:10080	UMLS:C0037753
DOID:10081	UMLS:C0153168
DOID:10087	UMLS:C0238440
DOID:10095	UMLS:C0021874
DOID:10112	UMLS:C0041228
DOID:10113	UMLS:C0041227
DOID:10120	UMLS:C0155209
DOID:10122	UMLS:C0155211
DOID:10123	UMLS:C0375489
DOID:10124	UMLS:C0010034
DOID:10125	UMLS:C0339286
DOID:10126	UMLS:C0022578
DOID:10127	UMLS:C0028790
DOID:10128	UMLS:C0042485
DOID:10131	UMLS:C0042266
DOID:10132	UMLS:C0033951
DOID:10138	UMLS:C0043349
DOID:10139	UMLS:C0155160
DOID:10140	UMLS:C0013238
DOID:10141	UMLS:C0004095
DOID:10146	UMLS:C1336745
DOID:10149	UMLS:C0153517
DOID:10151	UMLS:C0153518
DOID:10152	UMLS:C0153429
DOID:10153	UMLS:C0153428
DOID:10154	UMLS:C0153425
DOID:10155	UMLS:C0346627
DOID:10156	UMLS:C0020876
DOID:10159	UMLS:C0003977
DOID:10159	UMLS:C0027543
DOID:10159	UMLS:C0029445
DOID:10159	UMLS:C0158442
DOID:10159	UMLS:C0158449
DOID:10159	UMLS:C0158450
DOID:10159	UMLS:C0158451
DOID:10159	UMLS:C0158452
DOID:10159	UMLS:C0745048
DOID:10174	UMLS:C0155253
DOID:10175	UMLS:C0030353
DOID:10175	UMLS:C0155288
DOID:10175	UMLS:C0242420
DOID:10175	UMLS:C0919308
DOID:10176	UMLS:C0154874
DOID:10177	UMLS:C0155593
DOID:10182	UMLS:C0011871
DOID:10183	UMLS:C0852937
DOID:10184	UMLS:C0334474
DOID:10187	UMLS:C1333455
DOID:10188	UMLS:C0153968
DOID:10188	UMLS:C0347394
DOID:10188	UMLS:C1333174
DOID:1019	UMLS:C0008707
DOID:1019	UMLS:C0158372
DOID:1019	UMLS:C0158381
DOID:10190	UMLS:C1333970
DOID:10192	UMLS:C0205823
DOID:10193	UMLS:C1333059
DOID:10194	UMLS:C1335744
DOID:10195	UMLS:C1335434
DOID:10199	UMLS:C0349565
DOID:10200	UMLS:C1332932
DOID:10201	UMLS:C1333747
DOID:10203	UMLS:C0347423
DOID:10205	UMLS:C0347429
