cui	drugbank_id
UMLS:C0772394	DB00001
UMLS:C0995188	DB00002
UMLS:C1135662	DB00003
UMLS:C0717670	DB00004
UMLS:C0255813	DB00005
UMLS:C0717758	DB00005
UMLS:C1447786	DB00005
UMLS:C0168273	DB00006
UMLS:C0210057	DB00006
UMLS:C0085272	DB00007
UMLS:C0391001	DB00008
UMLS:C0032143	DB00009
UMLS:C0142046	DB00010
UMLS:C0699817	DB00011
UMLS:C2937361	DB00011
UMLS:C0937950	DB00012
UMLS:C0042071	DB00013
UMLS:C0120107	DB00014
UMLS:C0149473	DB00014
UMLS:C0700476	DB00014
UMLS:C0256103	DB00015
UMLS:C0014822	DB00016
UMLS:C0357126	DB00016
UMLS:C0357131	DB00016
UMLS:C0376541	DB00016
UMLS:C1872824	DB00016
UMLS:C1997870	DB00016
UMLS:C2746991	DB00016
UMLS:C4256161	DB00016
UMLS:C4256162	DB00016
UMLS:C4256163	DB00016
UMLS:C0073994	DB00017
UMLS:C1174910	DB00017
UMLS:C1621234	DB00018
UMLS:C1136535	DB00019
UMLS:C0216231	DB00020
UMLS:C0036534	DB00021
UMLS:C0796545	DB00022
UMLS:C0003993	DB00023
UMLS:C1269691	DB00023
UMLS:C0040160	DB00024
UMLS:C2587204	DB00024
UMLS:C2732002	DB00025
UMLS:C0245109	DB00026
UMLS:C0018157	DB00027
UMLS:C0018160	DB00027
UMLS:C0018164	DB00027
UMLS:C0018165	DB00027
UMLS:C0969638	DB00027
UMLS:C0085297	DB00028
UMLS:C0358321	DB00028
UMLS:C2702333	DB00028
UMLS:C0078956	DB00029
UMLS:C0021641	DB00030
UMLS:C0795635	DB00030
UMLS:C1446598	DB00030
UMLS:C1695970	DB00030
UMLS:C0872913	DB00031
UMLS:C0025326	DB00032
UMLS:C0021741	DB00033
UMLS:C1579322	DB00033
UMLS:C0021734	DB00034
UMLS:C4256158	DB00034
UMLS:C0011701	DB00035
UMLS:C1330542	DB00035
UMLS:C2603382	DB00035
UMLS:C0015505	DB00036
UMLS:C0534191	DB00036
UMLS:C0795575	DB00036
UMLS:C0537670	DB00038
UMLS:C0677829	DB00039
UMLS:C0017687	DB00040
UMLS:C0772088	DB00040
UMLS:C0876232	DB00040
UMLS:C4256157	DB00040
UMLS:C0218986	DB00041
UMLS:C0006051	DB00042
UMLS:C2719430	DB00042
UMLS:C0966225	DB00043
UMLS:C0065261	DB00044
UMLS:C1271607	DB00044
UMLS:C4255550	DB00045
UMLS:C0293359	DB00046
UMLS:C0982221	DB00046
UMLS:C0907402	DB00047
UMLS:C0009053	DB00048
UMLS:C0162745	DB00048
UMLS:C0937932	DB00049
UMLS:C0209366	DB00050
UMLS:C1122087	DB00051
UMLS:C0169964	DB00052
UMLS:C0291140	DB00053
UMLS:C0288672	DB00054
UMLS:C1170000	DB00055
UMLS:C1533699	DB00056
UMLS:C0209389	DB00057
UMLS:C0002191	DB00058
UMLS:C0795657	DB00058
UMLS:C0071568	DB00059
UMLS:C0254119	DB00060
UMLS:C0982234	DB00060
UMLS:C0164674	DB00061
UMLS:C0036773	DB00062
UMLS:C0304925	DB00062
UMLS:C2955472	DB00062
UMLS:C0253563	DB00063
UMLS:C0950902	DB00063
UMLS:C4256156	DB00063
UMLS:C0666743	DB00065
UMLS:C0060787	DB00066
UMLS:C0724588	DB00066
UMLS:C0733758	DB00066
UMLS:C1268876	DB00066
UMLS:C2224211	DB00066
UMLS:C3266859	DB00066
UMLS:C4301617	DB00066
UMLS:C4490581	DB00066
UMLS:C1705480	DB00067
UMLS:C0244713	DB00068
UMLS:C0244714	DB00068
UMLS:C0164613	DB00069
UMLS:C0020197	DB00070
UMLS:C0083996	DB00070
UMLS:C1577331	DB00070
UMLS:C0724601	DB00071
UMLS:C0770206	DB00071
UMLS:C0728747	DB00072
UMLS:C0393022	DB00073
UMLS:C0676831	DB00074
UMLS:C0085379	DB00075
UMLS:C3652663	DB00076
UMLS:C4083129	DB00076
UMLS:C0877880	DB00078
UMLS:C1272713	DB00078
