hetio_id	name	het_type	in_sem	final_id	fin_type
1	A1BG	Gene	True	UMLS:C1412045	Genes & Molecular Sequences
10	NAT2	Gene	True	UMLS:C0796518	Genes & Molecular Sequences
100	ADA	Gene	True	UMLS:C1412179	Genes & Molecular Sequences
1000	CDH2	Gene	True	UMLS:C1413277	Genes & Molecular Sequences
10000	AKT3	Gene	True	UMLS:C1332074	Genes & Molecular Sequences
100008586	GAGE12F	Gene	False	100008586	Genes & Molecular Sequences
10001	MED6	Gene	True	UMLS:C1334499	Genes & Molecular Sequences
10002	NR2E3	Gene	True	UMLS:C1417832	Genes & Molecular Sequences
10003	NAALAD2	Gene	True	UMLS:C1422727	Genes & Molecular Sequences
100033411	DUXB	Gene	False	100033411	Genes & Molecular Sequences
100037417	DDTL	Gene	False	100037417	Genes & Molecular Sequences
10004	NAALADL1	Gene	True	UMLS:C1428129	Genes & Molecular Sequences
100049579	OCTN3	Gene	False	100049579	Genes & Molecular Sequences
100049587	SIGLEC14	Gene	True	UMLS:C2239926	Genes & Molecular Sequences
10005	ACOT8	Gene	True	UMLS:C1825832	Genes & Molecular Sequences
10006	ABI1	Gene	True	UMLS:C1335864	Genes & Molecular Sequences
10007	GNPDA1	Gene	True	UMLS:C1415167	Genes & Molecular Sequences
10008	KCNE3	Gene	True	UMLS:C1416566	Genes & Molecular Sequences
10009	ZBTB33	Gene	True	UMLS:C1538153	Genes & Molecular Sequences
1001	CDH3	Gene	True	UMLS:C1337110	Genes & Molecular Sequences
10010	TANK	Gene	True	UMLS:C1823478	Genes & Molecular Sequences
100101267	POM121C	Gene	False	100101267	Genes & Molecular Sequences
100101467	ZSCAN30	Gene	False	100101467	Genes & Molecular Sequences
100101629	GAGE8	Gene	True	UMLS:C1414938	Genes & Molecular Sequences
10011	SRA1	Gene	True	UMLS:C1420394	Genes & Molecular Sequences
100113407	TMEM170B	Gene	False	100113407	Genes & Molecular Sequences
100125288	ZGLP1	Gene	True	UMLS:C1999257	Genes & Molecular Sequences
100127206	KIAA1024L	Gene	False	100127206	Genes & Molecular Sequences
100127889	C10orf131	Gene	False	100127889	Genes & Molecular Sequences
100127971	LOC100127971	Gene	False	100127971	Genes & Molecular Sequences
100127983	C8orf88	Gene	False	100127983	Genes & Molecular Sequences
100127991	LOC100127991	Gene	False	100127991	Genes & Molecular Sequences
100128001	LOC100128001	Gene	False	100128001	Genes & Molecular Sequences
100128071	FAM229A	Gene	False	100128071	Genes & Molecular Sequences
100128088	LOC100128088	Gene	False	100128088	Genes & Molecular Sequences
100128107	LOC100128107	Gene	False	100128107	Genes & Molecular Sequences
100128108	LOC100128108	Gene	False	100128108	Genes & Molecular Sequences
100128124	HGC6.3	Gene	False	100128124	Genes & Molecular Sequences
100128160	LOC100128160	Gene	False	100128160	Genes & Molecular Sequences
100128170	LOC100128170	Gene	False	100128170	Genes & Molecular Sequences
100128184	LOC100128184	Gene	False	100128184	Genes & Molecular Sequences
100128198	LOC100128198	Gene	False	100128198	Genes & Molecular Sequences
100128265	LOC100128265	Gene	False	100128265	Genes & Molecular Sequences
100128274	LOC100128274	Gene	False	100128274	Genes & Molecular Sequences
100128320	LOC100128320	Gene	False	100128320	Genes & Molecular Sequences
100128327	TRAPPC3L	Gene	False	100128327	Genes & Molecular Sequences
100128348	LOC100128348	Gene	False	100128348	Genes & Molecular Sequences
100128402	LOC100128402	Gene	False	100128402	Genes & Molecular Sequences
100128429	LOC100128429	Gene	False	100128429	Genes & Molecular Sequences
100128430	LOC100128430	Gene	False	100128430	Genes & Molecular Sequences
100128437	LOC100128437	Gene	False	100128437	Genes & Molecular Sequences
100128496	C20orf78	Gene	False	100128496	Genes & Molecular Sequences
100128498	LOC100128498	Gene	False	100128498	Genes & Molecular Sequences
100128517	LOC100128517	Gene	False	100128517	Genes & Molecular Sequences
100128529	LOC100128529	Gene	False	100128529	Genes & Molecular Sequences
100128551	LOC100128551	Gene	False	100128551	Genes & Molecular Sequences
100128553	CTAGE4	Gene	False	100128553	Genes & Molecular Sequences
100128569	C19orf71	Gene	False	100128569	Genes & Molecular Sequences
100128571	LOC100128571	Gene	False	100128571	Genes & Molecular Sequences
100128591	LOC100128591	Gene	False	100128591	Genes & Molecular Sequences
100128651	LOC100128651	Gene	False	100128651	Genes & Molecular Sequences
100128668	LOC100128668	Gene	False	100128668	Genes & Molecular Sequences
100128691	LOC100128691	Gene	False	100128691	Genes & Molecular Sequences
100128697	LOC100128697	Gene	False	100128697	Genes & Molecular Sequences
100128731	OST4	Gene	True	UMLS:C2829972	Genes & Molecular Sequences
