hetio_id	name	het_type	cui
1	A1BG	Gene	UMLS:C1412045
10	NAT2	Gene	UMLS:C0796518
100	ADA	Gene	UMLS:C1412179
1000	CDH2	Gene	UMLS:C1413277
10000	AKT3	Gene	UMLS:C1332074
100008586	GAGE12F	Gene	UMLS:C1825335
10001	MED6	Gene	UMLS:C1334499
10002	NR2E3	Gene	UMLS:C1417832
10003	NAALAD2	Gene	UMLS:C1422727
100033411	DUXB	Gene	UMLS:C2239362
100037417	DDTL	Gene	UMLS:C2239333
10004	NAALADL1	Gene	UMLS:C1428129
100049579	OCTN3	Gene	100049579
100049587	SIGLEC14	Gene	UMLS:C2239926
10005	ACOT8	Gene	UMLS:C1825832
10006	ABI1	Gene	UMLS:C1335864
10007	GNPDA1	Gene	UMLS:C1415167
10008	KCNE3	Gene	UMLS:C1416566
10009	ZBTB33	Gene	UMLS:C1538153
1001	CDH3	Gene	UMLS:C1337110
10010	TANK	Gene	UMLS:C1823478
100101267	POM121C	Gene	UMLS:C2239832
100101467	ZSCAN30	Gene	UMLS:C3147069
100101629	GAGE8	Gene	UMLS:C1414938
10011	SRA1	Gene	UMLS:C1420394
100113407	TMEM170B	Gene	UMLS:C2680475
100125288	ZGLP1	Gene	UMLS:C1999257
100127206	KIAA1024L	Gene	UMLS:C2239560
100127889	C10orf131	Gene	100127889
100127971	LOC100127971	Gene	100127971
100127983	C8orf88	Gene	UMLS:C3811536
100127991	LOC100127991	Gene	100127991
100128001	LOC100128001	Gene	100128001
100128071	FAM229A	Gene	UMLS:C3540332
100128088	LOC100128088	Gene	100128088
100128107	LOC100128107	Gene	100128107
100128108	LOC100128108	Gene	100128108
100128124	HGC6.3	Gene	100128124
100128160	LOC100128160	Gene	100128160
100128170	LOC100128170	Gene	100128170
100128184	LOC100128184	Gene	100128184
100128198	LOC100128198	Gene	100128198
100128265	LOC100128265	Gene	100128265
100128274	LOC100128274	Gene	100128274
100128320	LOC100128320	Gene	100128320
100128327	TRAPPC3L	Gene	UMLS:C1427309
100128348	LOC100128348	Gene	100128348
100128402	LOC100128402	Gene	100128402
100128429	LOC100128429	Gene	100128429
100128430	LOC100128430	Gene	100128430
